X,y
92.70467360050856,105130.98630855611
52.348257026597366,56367.26104961679
156.14578648986998,139152.19100556718
56.83365514492095,64766.49269124518
50.65245924617246,45318.87545471804
198.43157508347258,192321.44251289722
113.74849929525452,113229.50936803636
166.11446349809444,171858.67295315076
155.98805428706387,147608.91102710483
127.75797283292363,129496.14234417528
107.2151838229599,116650.79388754729
102.88239648418195,104108.61038987074
162.01045273251512,152078.53852368327
165.53901181368326,165713.75978361908
160.9637016514456,161217.8943341472
152.45898472093765,153973.02376368167
199.84072179107886,209631.2425232095
77.31743762362217,75205.17412926168
99.67119333060486,90282.26430864587
119.73846097545712,109162.13515592572
163.84150986377776,153667.52774020671
195.6544043019576,209843.31024510504
141.2031487829507,130850.69742480369
104.83000345214198,90808.3280786604
65.97788223039788,76870.83905300571
64.21922891024892,54910.84745309843
116.15255567650904,128651.22101260225
84.1398965880465,83213.9187189833
172.66642738832803,182414.50363678994
69.28492770632825,75961.74568151095
111.70453733054867,107525.20801001362
82.7562713559618,85891.76744180395
193.3863420975146,195556.0672512089
153.27420379728835,142461.22657538854
95.29114223902877,99760.55047464074
155.88067199675683,138629.4098226606
198.304241377269,202734.8220432818
149.15676110023037,143431.7238011584
88.73303461863158,76308.62958043706
132.8739581185817,128590.19769655471
137.3169433219786,116834.1436566872
86.3364612339191,81181.15583089559
143.52942361531314,135056.2123521757
83.29701062621149,79642.03696152817
51.40749096840867,60312.17469479234
50.35647352310919,41064.642041924424
188.99157136163012,185280.6126568817
186.16570196961305,184422.01321869696
181.70419357270728,185135.1319222638
160.94487187027482,152333.4376734705
64.59222321274136,52346.36878177068
118.38223804402315,102830.69905601395
173.9153340483439,184962.32168361818
191.9314192605183,211084.36137779878
193.01206143353653,211247.5133724835
198.54446573545587,191423.059543661
176.4175358154932,170026.55120852828
125.84580853745518,131805.35491763242
197.7049031755748,197743.19510754658
106.50421719083627,106453.96487387443
172.96556254715398,157559.201157303
116.73028532681437,130385.17488170254
56.52903341728596,59883.750630958726
113.52637159154094,119167.0085524171
115.84803063307513,95286.32675429704
99.855020723065,84691.98321874428
85.05177164218713,88452.92514116978
132.0826414454054,143365.23420087184
113.46750648908898,106528.19642482878
87.90569635301324,79176.49303166226
116.79711740759008,119756.36446171773
167.4852472195704,154923.58212033237
187.89961204318277,188189.65686971476
138.45108042728327,143320.50736936444
190.16550167715084,192003.54945709943
173.92001819926946,193361.78236295836
113.7884501650379,120285.11432261243
157.50094367426203,166333.95123939202
189.24420283591346,189531.87215375985
143.2696780008855,156709.82308422192
82.30336134969384,76181.56712555153
60.255630345814566,67429.16481764741
169.4341476772447,178702.11592064006
52.25612471101462,48204.371777596956
148.97424867712783,144341.54289699942
125.55854563702182,127217.80356532575
179.7751233996817,178327.1976511585
179.7521164552023,184120.5096572612
164.3044379857169,161005.38650159608
108.5101459605647,110136.0012472281
117.35528090467638,124989.3565912438
76.9808829097964,81798.52023832523
169.6475772939922,167594.44065211274
178.80560761591315,184243.4278379937
180.48134980143297,179357.3863034741
193.82141884816545,192251.1481803769
81.4096087527185,90830.97423953094
195.01130989567608,212019.0250714472
102.0670670509362,97210.42015855122
199.75685438989433,200166.94371601747
